Fishes	Bonefishes	"Banana-fish, Bonefish, Ghost Of The Flats, Grey Ghost, Lady Fish, Ladyfish, Pacific Bonefish"	Animalia: Chordata: Actinopterygii	Albuliformes	Albulidae	Albula	forsteri 																																																																										
Fishes	Freshwater eels	"Australian Shortfinned Eel, Freshwater Eel, River Eel, Short-fin Eel, Short-finned Eel, Shortfin Eel, Shortfinned Eel, Silver Eel, Southern Shortfin Eel, Yellow Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Anguillidae	Anguilla	australis 																																																																										
Fishes	Freshwater eels	"Bicolor Eel, Freshwater Eel, Indian Ocean Eel, Indian Short-finned Eel, Indonesian Shortfin Eel, Northern Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Anguillidae	Anguilla	bicolor 																																																																										
Fishes	Freshwater eels	"Pacific Short-finned Eel, Pacific Shortfin Eel, Pacific Shortfinned Eel, South Pacific Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Anguillidae	Anguilla	obscura 																																																																										
Fishes	Freshwater eels	"Australian Longfinned Eel, Conger Eel, Freshwater Eel, Long-fin Eel, Long-finned Eel, Longfin Eel, Longfinned Eel, Marbled Eel, River Eel, Spotted Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Anguillidae	Anguilla	reinhardtii 																																																																										
Fishes	False morays	"Blacknose False Moray, Blackrose Reef Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Chlopsidae	Kaupichthys	atronasus 																																																																										
Fishes	False morays	Shortfin False Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Chlopsidae	Kaupichthys	brachychirus 																																																																										
Fishes	False morays	"Grey Reef Eel, Plain False Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Chlopsidae	Kaupichthys	diodontus 																																																																										
Fishes	Worm eels & Short-tail eels 	"Indo-Pacific Shorttail Conger, Short-tail Conger, Shorttail Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Colocongridae	Coloconger	scholesi 																																																																										
Fishes	Conger & garden eels	"Dark-finned Conger-eel, Darkfin Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Ariosoma	anago 																																																																										
Fishes	Conger & garden eels	"Big-eye Congerm, Sea Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Ariosoma	anagoides 																																																																										
Fishes	Conger & garden eels	Lord Howe Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Ariosoma	howensis 																																																																										
Fishes	Conger & garden eels	Blunt-tooth Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Ariosoma	mauritianum 																																																																										
Fishes	Conger & garden eels	"Scheele's Conger, Tropical Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Ariosoma	scheelei 																																																																										
Fishes	Conger & garden eels	"Swollen-head Conger-eel, Swollen-headed Conger Eel, Swollenhead Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Bassanago	bulbiceps 																																																																										
Fishes	Conger & garden eels	Deepsea Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Bassanago	hirsutus 																																																																										
Fishes	Conger & garden eels	Lined Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Bathycongrus	guttulatus 																																																																										
Fishes	Conger & garden eels	Toothy Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Bathycongrus	odontostomus 																																																																										
Fishes	Conger & garden eels	"Blackedge Conger, Randall's Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Bathycongrus	retrotinctus 																																																																										
Fishes	Conger & garden eels	"Large-toothed Conger, Largetooth Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Bathyuroconger	vicinus 																																																																										
Fishes	Conger & garden eels	Frillgill Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Blachea	xenobranchialis 																																																																										
Fishes	Conger & garden eels	Eared Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Castleichthys	auritus 																																																																										
Fishes	Conger & garden eels	"Ashen Conger-eel, Black-edged Conger, Blacklip Conger, Longfin Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Conger	cinereus 																																																																										
Fishes	Conger & garden eels	"Common Conger-eel, Conger Eel, Short-finned Conger-eel, Southern Conger, Southern Conger Eel, Southern Conger-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Conger	verreauxi 																																																																										
Fishes	Conger & garden eels	"Common Conger-eel, Conger Eel, Eastern Conger, Short-finned Conger Eel, Short-finned Conger-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Conger	wilsoni 																																																																										
Fishes	Conger & garden eels	Headband Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Diploconger	polystigmatus 																																																																										
Fishes	Conger & garden eels	Duckbill Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gavialiceps	javanicus 																																																																										
Fishes	Conger & garden eels	Castle's Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gnathophis	castlei 																																																																										
Fishes	Conger & garden eels	Graham's Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gnathophis	grahami 																																																																										
Fishes	Conger & garden eels	"Little Conger, Little Conger Eel, Little Conger-eel, Silver Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gnathophis	longicaudus 																																																																										
Fishes	Conger & garden eels	Largepore Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gnathophis	macroporis 																																																																										
Fishes	Conger & garden eels	Blackgut Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gnathophis	melanocoelus 																																																																										
Fishes	Conger & garden eels	Smalleye Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gnathophis	microps 																																																																										
Fishes	Conger & garden eels	Bignose Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gnathophis	nasutus 																																																																										
Fishes	Conger & garden eels	"Fringe-nosed Conger-eel, Umbrella Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gnathophis	umbrellabius 																																																																										
Fishes	Conger & garden eels	Speckled Garden Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gorgasia	galzini 																																																																										
Fishes	Conger & garden eels	Splendid Garden Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gorgasia	preclara 																																																																										
Fishes	Conger & garden eels	"Spotted Garden Eel, Spotted Garden-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Heteroconger	hassi 																																																																										
Fishes	Conger & garden eels	"Black Conger-eel, Luminous Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Lumiconger	arafura 																																																																										
Fishes	Conger & garden eels	Rubbernose Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Macrocephenchelys	brevirostris 																																																																										
