Category	Kingdom	Group Name	Species Common Name	Taxonomy	Order	Family	Genus	Species	Synonym
Invertebrates	Animals	Butterflies		Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	sp.	
Invertebrates	Animals	Butterflies	Swallowtail - no specific common name	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	codrus 	
Invertebrates	Animals	Butterflies	Swallowtail - no specific common name	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	codrus medon	
Invertebrates	Animals	Butterflies	Tailed Jay	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	agamemnon 	
Invertebrates	Animals	Butterflies	Tailed Jay	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	agamemnon ligatum	
Invertebrates	Animals	Butterflies	Chain Swordtail	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	aristeus 	
Invertebrates	Animals	Butterflies	Chain Swordtail	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	aristeus parmatum	
Invertebrates	Animals	Butterflies	Great Jay	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	eurypylus 	
Invertebrates	Animals	Butterflies	Great Jay	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	eurypylus lycaon	
Invertebrates	Animals	Butterflies	Great Jay	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	eurypylus lycaonides	
Invertebrates	Animals	Butterflies	Great Jay	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	eurypylus nyctimus	
Invertebrates	Animals	Butterflies	Green Triangle Butterfly	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	macfarlanei 	
Invertebrates	Animals	Butterflies	Green Triangle Butterfly	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	macfarlanei macfarlanei	
Invertebrates	Animals	Butterflies	Macleay's Swallowtail	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	macleayanum 	
Invertebrates	Animals	Butterflies	Macleay's Swallowtail	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	macleayanum insulanum	
Invertebrates	Animals	Butterflies	Macleay's Swallowtail	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	macleayanum macleayanum	
Invertebrates	Animals	Butterflies	Macleay's Swallowtail	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	macleayanum moggana	
Invertebrates	Animals	Butterflies	Blue Triangle Butterfly	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	sarpedon 	
Invertebrates	Animals	Butterflies	Blue Triangle Butterfly	Animalia: Arthropoda: Insecta	Lepidoptera	Papilionidae	Graphium	sarpedon choredon	
